ID,nr,datum,schlag,objekt,objnr,beschrei,zustand,bild,bemerkun,handlung,x,y,position,gpstime,ggatime,time,kunde,bearbeit,lage,da,dks,sam,sau,geom,proc
"20001329","20001329",09.02.,,Sonstiger Punkt,"13",N36,,,,,,,"{""mode"":2,""speedKn"":""0.034"",""pdop"":""0.88"",""ght"":""43.579"",""satView"":""03"",""vdop"":""1.02"",""lon"":""13.8880571"",""oht"":""120.405"",""systime"":1675934313370,""time"":1675930712000,""hdop"":""0.51"",""lat"":""51.0039165"",""aux"":{""source"":0,""ght"":""43.579"",""eht"":""120.40543.579"",","1675930712000","1675930712000","1675934318.639111",,,,,,,,,$Format:%H$:newRecord
"20001330","20001330",09.02.,,Sonstiger Punkt,"14",S41,,,,,,,"{""mode"":2,""speedKn"":""0.004"",""pdop"":""0.88"",""ght"":""43.580"",""satView"":""05"",""vdop"":""1.02"",""lon"":""13.8872333"",""oht"":""120.853"",""systime"":1675934410203,""time"":1675930809000,""hdop"":""0.51"",""lat"":""51.0035206"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""120.85343.580"",","1675930809000","1675930809000","1675934415.694269",,,,,,,,,$Format:%H$:newRecord
"20001331","20001331",09.02.,,Sonstiger Punkt,"15",Zf1,,,,,,,"{""mode"":2,""speedKn"":""0.039"",""pdop"":""0.80"",""ght"":""43.580"",""satView"":""05"",""vdop"":""0.94"",""lon"":""13.8871465"",""oht"":""121.257"",""systime"":1675934847145,""time"":1675931246000,""hdop"":""0.49"",""lat"":""51.0035025"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""121.25743.580"",","1675931246000","1675931246000","1675934852.23538",,,,,,,,,$Format:%H$:newRecord
"20001332","20001332",09.02.,,Sonstiger Punkt,"16",Zf2,,,,,,,"{""mode"":2,""speedKn"":""0.024"",""pdop"":""0.80"",""ght"":""43.580"",""satView"":""05"",""vdop"":""0.94"",""lon"":""13.8868557"",""oht"":""120.290"",""systime"":1675934884641,""time"":1675931284000,""hdop"":""0.49"",""lat"":""51.0036472"",""aux"":{""source"":0,""ght"":""43.580"",""eht"":""120.29043.580"",","1675931284000","1675931284000","1675934889.742094",,,,,,,,,$Format:%H$:newRecord
"20001333","20001333",09.02.,,Sonstiger Punkt,"17",Zf3,,,,,,,"{""mode"":2,""speedKn"":""0.007"",""pdop"":""0.80"",""ght"":""43.581"",""satView"":""06"",""vdop"":""0.94"",""lon"":""13.8865385"",""oht"":""119.981"",""systime"":1675934926234,""time"":1675931325000,""hdop"":""0.49"",""lat"":""51.0038235"",""aux"":{""source"":0,""ght"":""43.581"",""eht"":""119.98143.581"",","1675931325000","1675931325000","1675934931.137531",,,,,,,,,$Format:%H$:newRecord
"20001334","20001334",09.02.,,Sonstiger Punkt,"18",Zf4,,,,,,,"{""mode"":2,""speedKn"":""0.005"",""pdop"":""0.80"",""ght"":""43.581"",""satView"":""06"",""vdop"":""0.94"",""lon"":""13.8864663"",""oht"":""120.777"",""systime"":1675934977091,""time"":1675931376000,""hdop"":""0.49"",""lat"":""51.0038182"",""aux"":{""source"":0,""ght"":""43.581"",""eht"":""120.77743.581"",","1675931376000","1675931376000","1675934982.037556",,,,,,,,,$Format:%H$:newRecord
"20001335","20001335",09.02.,,Sonstiger Punkt,"19",Zf5,,,,,,,"{""mode"":2,""speedKn"":""0.081"",""pdop"":""0.80"",""ght"":""43.581"",""satView"":""05"",""vdop"":""0.94"",""lon"":""13.8863985"",""oht"":""120.612"",""systime"":1675934998256,""time"":1675931397000,""hdop"":""0.49"",""lat"":""51.0037660"",""aux"":{""source"":0,""ght"":""43.581"",""eht"":""120.61243.581"",","1675931397000","1675931397000","1675935003.213194",,,,,,,,,$Format:%H$:newRecord
"20001336","20001336",09.02.,,Sonstiger Punkt,"20",Zf6,,,,,,,"{""mode"":2,""speedKn"":""0.009"",""pdop"":""0.76"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.90"",""lon"":""13.8857231"",""oht"":""120.271"",""systime"":1675935039473,""time"":1675931438000,""hdop"":""0.48"",""lat"":""51.0032617"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.27143.582"",","1675931438000","1675931438000","1675935044.438248",,,,,,,,,$Format:%H$:newRecord
"20001337","20001337",09.02.,,Sonstiger Punkt,"21",Zf7,,,,,,,"{""mode"":2,""speedKn"":""0.069"",""pdop"":""0.76"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.90"",""lon"":""13.8856465"",""oht"":""120.503"",""systime"":1675935065527,""time"":1675931465000,""hdop"":""0.48"",""lat"":""51.0032413"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.50343.582"",","1675931465000","1675931465000","1675935070.665175",,,,,,,,,$Format:%H$:newRecord
"20001338","20001338",09.02.,,Sonstiger Punkt,"22",Zf8,,,,,,,"{""mode"":2,""speedKn"":""0.032"",""pdop"":""0.76"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.90"",""lon"":""13.8855832"",""oht"":""120.239"",""systime"":1675935094226,""time"":1675931493000,""hdop"":""0.48"",""lat"":""51.0032484"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.23943.582"",","1675931493000","1675931493000","1675935099.053688",,,,,,,,,$Format:%H$:newRecord
"20001339","20001339",09.02.,,Sonstiger Punkt,"23",Zf9,,,,,,,"{""mode"":2,""speedKn"":""0.043"",""pdop"":""0.80"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.95"",""lon"":""13.8853382"",""oht"":""120.113"",""systime"":1675935134606,""time"":1675931534000,""hdop"":""0.50"",""lat"":""51.0033746"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.11343.582"",","1675931534000","1675931534000","1675935139.529548",,,,,,,,,$Format:%H$:newRecord
"20001340","20001340",09.02.,,Sonstiger Punkt,"24",Zf10,,,,,,,"{""mode"":2,""speedKn"":""0.039"",""pdop"":""0.81"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.95"",""lon"":""13.8850633"",""oht"":""120.054"",""systime"":1675935171396,""time"":1675931570000,""hdop"":""0.50"",""lat"":""51.0035097"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.05443.582"",","1675931570000","1675931570000","1675935176.419006",,,,,,,,,$Format:%H$:newRecord
"20001341","20001341",09.02.,,Sonstiger Punkt,"25",Zf11,,,,,,,"{""mode"":2,""speedKn"":""0.030"",""pdop"":""0.81"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.95"",""lon"":""13.8847326"",""oht"":""120.066"",""systime"":1675935209305,""time"":1675931608000,""hdop"":""0.50"",""lat"":""51.0036718"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""120.06643.582"",","1675931608000","1675931608000","1675935214.187863",,,,,,,,,$Format:%H$:newRecord
"20001342","20001342",09.02.,,Sonstiger Punkt,"26",Zf12,,,,,,,"{""mode"":2,""speedKn"":""0.049"",""pdop"":""0.81"",""ght"":""43.582"",""satView"":""04"",""vdop"":""0.95"",""lon"":""13.8846657"",""oht"":""119.921"",""systime"":1675935262867,""time"":1675931662000,""hdop"":""0.50"",""lat"":""51.0037032"",""aux"":{""source"":0,""ght"":""43.582"",""eht"":""119.92143.582"",","1675931662000","1675931662000","1675935268.053488",,,,,,,,,$Format:%H$:newRecord
